HOTEL_CUSTOMER_ID,FOL_ACT_ARR_DATE,FOL_ACT_DEP_DATE,Arrival Month,Departure Month,Duration,DEBIT_TTL,ROOMDEBIT,OTHERDEBIT,FNBDEBIT,ENTERTNDEBIT,RETLDEBIT,CREDIT_TTL,ROOMCREDIT,OTHERCREDIT,FNBCREDIT,ENTERTNCREDIT,RETLCREDIT,TOTAL_CHARGES
24,11-Apr-2002,15-Apr-2002,Apr,Apr,4.00,584.63,413.96,75,95.67,0,0,0,0,0,0,0,0,584.63
24,15-Apr-2002,16-Apr-2002,Apr,Apr,1.00,87.14,87.14,0,0,0,0,0,0,0,0,0,0,87.14
24,20-Oct-2004,21-Oct-2004,Oct,Oct,1.00,164.72,130.75,0,33.97,0,0,0,0,0,0,0,0,164.72
24,21-Apr-2004,25-Apr-2004,Apr,Apr,4.00,53.75,0,29.75,24,0,0,0,0,0,0,0,0,53.75
25,9-Dec-2002,11-Dec-2002,Dec,Dec,2.00,141.64,0,141.64,0,0,0,0,0,0,0,0,0,141.64
25,21-Jul-2002,25-Jul-2002,Jul,Jul,4.00,245.3,196.02,0,49.28,0,0,0,0,0,0,0,0,245.3
25,28-Sep-2003,2-Oct-2003,Sep,Oct,4.00,265.32,261.4,0,3.92,0,0,0,0,0,0,0,0,265.32
25,29-Apr-2002,3-May-2002,Apr,May,4.00,87.14,0,87.14,0,0,0,0,0,0,0,0,0,87.14
25,29-Apr-2002,3-May-2002,Apr,May,4.00,271.58,228.72,0,42.86,0,0,0,0,0,0,0,0,271.58
26,20-Apr-2003,23-Apr-2003,Apr,Apr,3.00,175.36,65.34,2,108.02,0,0,0,0,0,0,0,0,175.36
26,23-Aug-2002,26-Aug-2002,Aug,Aug,3.00,208.19,65.34,43.62,99.23,0,0,0,0,0,0,0,0,208.19
26,25-Aug-2002,26-Aug-2002,Aug,Aug,1.00,27.25,27.25,0,0,0,0,0,0,0,0,0,0,27.25
27,26-May-2002,27-May-2002,May,May,1.00,92.65,92.65,0,0,0,0,0,0,0,0,0,0,92.65
28,1-Feb-2002,2-Feb-2002,Feb,Feb,1.00,168.44,163.44,5,0,0,0,0,0,0,0,0,0,168.44
28,29-Jan-2002,1-Feb-2002,Jan,Feb,3.00,260.67,161.32,13,86.35,0,0,0,0,0,0,0,0,260.67
29,5-Jul-2002,7-Jul-2002,Jul,Jul,2.00,427.2,224.54,105.63,97.03,0,0,0,0,0,0,0,0,427.2
30,16-Oct-2002,19-Oct-2002,Oct,Oct,3.00,299.42,294.12,5.3,0,0,0,0,0,0,0,0,0,299.42
30,26-Jun-2003,29-Jun-2003,Jun,Jun,3.00,528.59,473.97,0,54.62,0,0,0,0,0,0,0,0,528.59
31,11-Jun-2002,12-Jun-2002,Jun,Jun,1.00,76.24,76.24,0,0,0,0,0,0,0,0,0,0,76.24
32,12-Apr-2002,14-Apr-2002,Apr,Apr,2.00,261.48,261.48,0,0,0,0,0,0,0,0,0,0,261.48
33,23-Aug-2002,25-Aug-2002,Aug,Aug,2.00,75,0,0,75,0,0,0,0,0,0,0,0,75
34,26-Sep-2002,29-Sep-2002,Sep,Sep,3.00,542.79,490.32,14.05,38.42,0,0,0,0,0,0,0,0,542.79
35,19-Feb-2002,20-Feb-2002,Feb,Feb,1.00,205.9,113.03,1,75.71,0,16.16,0,0,0,0,0,0,205.9
36,6-Jul-2002,8-Jul-2002,Jul,Jul,2.00,159.48,152.48,0,7,0,0,0,0,0,0,0,0,159.48
37,3-Nov-2002,3-Nov-2002,Nov,Nov,0.00,14.99,0,9.99,5,0,0,0,0,0,0,0,0,14.99
37,4-Oct-2004,9-Oct-2004,Oct,Oct,5.00,49.44,28.64,0,20.8,0,0,0,0,0,0,0,0,49.44
37,10-Mar-2004,15-Mar-2004,Mar,Mar,5.00,423.68,0,217.68,120,0,86,0,0,0,0,0,0,423.68
37,10-Mar-2004,14-Mar-2004,Mar,Mar,4.00,1041.83,0,679.45,163.5,0,198.88,0,0,0,0,0,0,1041.83
37,12-Mar-2004,14-Mar-2004,Mar,Mar,2.00,2,0,2,0,0,0,0,0,0,0,0,0,2
37,13-Oct-2004,17-Oct-2004,Oct,Oct,4.00,4570.77,1374.67,540.06,2529.95,0,126.09,0,0,0,0,0,0,4570.77
38,19-Oct-2002,24-Oct-2002,Oct,Oct,5.00,798.13,498.13,300,0,0,0,0,0,0,0,0,0,798.13
38,19-Oct-2002,19-Oct-2002,Oct,Oct,0.00,300,0,300,0,0,0,0,0,0,0,0,0,300
39,12-Aug-2004,16-Aug-2004,Aug,Aug,4.00,6757.64,140.08,366,6244.05,0,7.51,0,0,0,0,0,0,6757.64
39,25-Apr-2002,28-Apr-2002,Apr,Apr,3.00,10,0,0,10,0,0,0,0,0,0,0,0,10
39,25-Apr-2002,28-Apr-2002,Apr,Apr,3.00,1287.1,37.98,530.65,718.47,0,0,0,0,0,0,0,0,1287.1
39,25-Apr-2002,28-Apr-2002,Apr,Apr,3.00,149.5,0,13.5,136,0,0,0,0,0,0,0,0,149.5
39,25-Apr-2002,28-Apr-2002,Apr,Apr,3.00,3.95,0,1,2.95,0,0,0,0,0,0,0,0,3.95
39,26-Mar-2004,29-Mar-2004,Mar,Mar,3.00,360.31,140.4,78.09,138,0,3.82,0,0,0,0,0,0,360.31
40,18-Jun-2002,23-Jun-2002,Jun,Jun,5.00,59.95,0,59.95,0,0,0,0,0,0,0,0,0,59.95
41,1-Mar-2002,9-Mar-2002,Mar,Mar,8.00,393.14,88.23,157.42,90,0,57.49,0,0,0,0,0,0,393.14
42,20-Jun-2002,24-Jun-2002,Jun,Jun,4.00,329.2,0,98.72,215,0,15.48,0,0,0,0,0,0,329.2
43,9-Jan-2002,13-Jan-2002,Jan,Jan,4.00,73.9,0,1,65.9,7,0,0,0,0,0,0,0,73.9
43,10-Jan-2002,13-Jan-2002,Jan,Jan,3.00,118.76,29.98,83.78,5,0,0,0,0,0,0,0,0,118.76
44,11-Oct-2002,12-Oct-2002,Oct,Oct,1.00,9.99,0,9.99,0,0,0,0,0,0,0,0,0,9.99
44,16-Aug-2002,18-Aug-2002,Aug,Aug,2.00,1,0,1,0,0,0,0,0,0,0,0,0,1
45,13-Aug-2002,16-Aug-2002,Aug,Aug,3.00,214.55,212.55,2,0,0,0,0,0,0,0,0,0,214.55
46,3-May-2002,5-May-2002,May,May,2.00,72.75,8.99,0,63.76,0,0,0,0,0,0,0,0,72.75
46,6-Nov-2004,8-Nov-2004,Nov,Nov,2.00,10,0,0,10,0,0,0,0,0,0,0,0,10
46,10-Feb-2002,13-Feb-2002,Feb,Feb,3.00,69.59,0,2,67.59,0,0,0,0,0,0,0,0,69.59
46,15-Sep-2002,18-Sep-2002,Sep,Sep,3.00,417.02,75.33,120,221.69,0,0,0,0,0,0,0,0,417.02
46,17-Sep-2004,20-Sep-2004,Sep,Sep,3.00,82.17,0,13.99,68.18,0,0,0,0,0,0,0,0,82.17
46,19-Dec-2003,22-Dec-2003,Dec,Dec,3.00,69.93,0,0,69.93,0,0,0,0,0,0,0,0,69.93
46,19-Dec-2003,22-Dec-2003,Dec,Dec,3.00,81.75,81.75,0,0,0,0,0,0,0,0,0,0,81.75
